X,Y,Z
-0.237310,-0.002409,0.701195
-0.237310,-0.002409,0.701195
-0.305458,0.130497,0.930039
-0.305458,0.130497,0.930039
-0.305458,0.130497,0.930039
-0.305458,0.130497,0.930039
-0.305458,0.130497,0.930039
-0.305458,0.130497,0.930039
-0.305458,0.130497,0.930039
-0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000
-0.091951,0.060082,0.282311
-0.071552,0.053274,0.221665
-0.071552,0.053274,0.221665
-0.000000,0.000000,0.000000
