X,Y,Z
0.419715,-0.629137,2.689083
0.422545,-0.640633,2.726099
0.422545,-0.640633,2.726099
-0.193020,-0.154383,2.059060
0.006129,0.013109,5.665267
0.217588,-0.085035,2.107270
